amount,merchant_category,customer_age,customer_location,device_type,previous_transactions,is_fraud,transaction_hour,transaction_day,transaction_month,transaction_day_of_week,is_weekend,is_night,customer_avg_amount,amount_deviation,amount_ratio
11.66,entertainment,60,FL,desktop,3,0,7,12,2,5,1,0,97.749972,-86.089972,0.11928392041601894
19.66,grocery,61,CA,tablet,4,0,10,15,12,6,1,0,97.749972,-78.089972,0.2011253752469067
19.27,fuel,23,NY,mobile,4,0,3,17,10,0,0,1,97.749972,-78.479972,0.19713560432390095
46.16,grocery,27,CA,mobile,1,0,16,25,12,6,1,0,97.749972,-51.589972,0.47222519437422245
18.71,fashion,50,CA,desktop,3,0,5,28,12,3,0,1,97.749972,-79.039972,0.19140670248573882
71.9,fuel,38,IL,tablet,4,0,0,2,4,5,1,1,97.749972,-25.849971999999994,0.735550075292604
1.09,electronics,53,IL,tablet,1,0,12,18,7,3,0,0,97.749972,-96.659972,0.011150898220708461
5.73,fuel,36,CA,mobile,5,0,5,6,1,4,0,1,97.749972,-92.019972,0.058618942022623376
167.11,electronics,55,TX,tablet,4,0,3,23,1,1,0,1,97.749972,69.36002800000001,1.7095656895987072
37.51,fashion,19,TX,tablet,0,0,23,9,8,2,0,1,97.749972,-60.239972,0.3837341213383251
169.31,entertainment,60,FL,desktop,1,0,11,29,6,2,0,0,97.749972,71.560028,1.7320720896772013
90.02,entertainment,54,FL,desktop,5,0,23,5,2,5,1,1,97.749972,-7.729972000000004,0.9209209704845647
121.28,fuel,43,TX,desktop,2,0,13,4,6,6,1,0,97.749972,23.530028,1.2407164552362588
38.81,electronics,60,FL,mobile,5,0,14,17,10,0,0,0,97.749972,-58.939972,0.39703335774834436
161.91,electronics,25,FL,tablet,3,0,9,28,4,4,0,0,97.749972,64.160028,1.65636874395863
1.64,entertainment,48,TX,desktop,2,0,11,24,5,4,0,0,97.749972,-96.109972,0.016777498240331996
58.46,electronics,64,IL,desktop,7,0,22,20,9,2,0,1,97.749972,-39.289972,0.5980564311767125
62.86,grocery,39,TX,tablet,4,0,19,6,9,4,0,0,97.749972,-34.889972,0.6430692313337008
336.11,fashion,38,NY,mobile,1,0,5,28,7,6,1,1,97.749972,238.360028,3.438466422901212
52.77,electronics,52,NY,mobile,0,0,13,31,5,4,0,0,97.749972,-44.979972,0.5398466964282436
29.7,electronics,55,NY,mobile,4,0,21,20,3,0,0,0,97.749972,-68.049972,0.30383640105967086
140.03,fuel,63,NY,desktop,3,0,7,6,12,2,0,0,97.749972,42.280028,1.432532364996152
13.02,fashion,35,CA,tablet,3,0,3,20,5,5,1,1,97.749972,-84.729972,0.13319696773726986
5.93,electronics,41,FL,mobile,2,0,7,11,6,1,0,0,97.749972,-91.819972,0.06066497839339557
210.23,entertainment,34,TX,mobile,7,0,15,31,1,0,0,0,97.749972,112.48002799999999,2.1506911311371923
27.73,entertainment,55,TX,mobile,2,0,0,25,12,0,0,1,97.749972,-70.019972,0.2836829428075648
23.49,grocery,45,IL,tablet,2,0,16,11,12,0,0,0,97.749972,-74.259972,0.24030697174719423
25.15,grocery,21,NY,mobile,4,0,1,4,11,0,0,1,97.749972,-72.59997200000001,0.25728907362460346
23.66,entertainment,24,CA,mobile,2,0,5,16,1,1,0,1,97.749972,-74.089972,0.2420461026623506
111.09,fashion,57,NY,mobile,3,0,18,21,11,3,0,0,97.749972,13.340028000000004,1.1364709021454156
99.08,grocery,54,NY,desktop,3,0,13,19,7,2,0,0,97.749972,1.3300279999999987,1.013606418080545
54.26,electronics,19,IL,tablet,5,0,1,5,12,3,0,1,97.749972,-43.489972,0.5550896673904964
39.55,fuel,44,IL,tablet,4,0,2,31,1,0,0,1,97.749972,-58.199972,0.40460369232020144
86.03,grocery,52,IL,desktop,4,0,10,17,9,6,1,0,97.749972,-11.719971999999999,0.8801025448876595
24.02,fuel,23,IL,desktop,1,0,16,18,2,6,1,0,97.749972,-73.729972,0.24572896812974057
24.15,entertainment,21,FL,mobile,0,0,9,11,7,1,0,0,97.749972,-73.59997200000001,0.24705889177074247
36.11,fashion,62,IL,tablet,5,0,3,28,6,1,0,1,97.749972,-61.639972,0.3694118667429197
9.1,fuel,21,FL,mobile,6,0,13,9,3,5,1,0,97.749972,-88.649972,0.09309465487013485
169.71,grocery,50,CA,tablet,6,0,1,3,7,0,0,1,97.749972,71.96002800000001,1.7361641624187458
66.56,entertainment,41,TX,tablet,1,0,20,19,1,2,0,0,97.749972,-31.189971999999997,0.6809209041929863
103.83,grocery,28,NY,mobile,2,0,20,30,9,5,1,0,97.749972,6.080027999999999,1.0621997818863849
37.6,grocery,67,FL,mobile,3,0,19,26,3,6,1,0,97.749972,-60.149972,0.3846548377051726
265.08,electronics,36,CA,desktop,4,0,7,5,4,1,0,0,97.749972,167.33002799999997,2.7118166058214666
90.09,electronics,39,NY,desktop,1,0,5,21,1,5,1,1,97.749972,-7.659971999999996,0.921637083214335
98.57,grocery,61,IL,mobile,4,0,4,28,3,3,0,1,97.749972,0.8200279999999935,1.008389025335076
30.86,fuel,18,CA,desktop,4,0,6,20,8,5,1,0,97.749972,-66.889972,0.3157034120101496
6.26,electronics,24,NY,mobile,4,0,10,6,7,3,0,0,97.749972,-91.489972,0.06404093840516968
61.12,electronics,37,TX,desktop,1,0,5,9,12,0,0,1,97.749972,-36.629972,0.6252687149079826
46.41,grocery,67,IL,tablet,2,0,15,20,9,4,0,0,97.749972,-51.339972,0.4747827398376877
89.95,fashion,24,NY,tablet,3,0,8,15,4,5,1,0,97.749972,-7.799971999999997,0.9202048577547945
128.27,fashion,46,NY,desktop,7,0,17,31,8,2,0,0,97.749972,30.52002800000001,1.312225426394747
5.72,fashion,49,IL,tablet,2,0,12,30,8,2,0,0,97.749972,-92.029972,0.058516640204084765
8.51,entertainment,44,IL,mobile,3,0,20,20,11,0,0,0,97.749972,-89.239972,0.08705884757635687
46.28,grocery,37,NY,mobile,4,0,0,4,1,1,0,1,97.749972,-51.469972,0.47345281619668583
36.37,grocery,27,CA,mobile,2,0,18,20,11,6,1,0,97.749972,-61.379972,0.37207171402492356
52.92,fuel,65,IL,mobile,2,0,0,21,4,6,1,1,97.749972,-44.829972,0.5413812237063227
36.42,fashion,44,IL,tablet,2,0,16,23,11,3,0,0,97.749972,-61.329972,0.37258322311761666
41.21,entertainment,29,TX,tablet,5,0,5,3,9,6,1,1,97.749972,-56.539972,0.4215857941976107
275.14,fuel,47,IL,tablet,2,0,2,20,8,1,0,1,97.749972,177.39002799999997,2.814732235271308
111.59,electronics,59,IL,desktop,1,0,14,15,2,2,0,0,97.749972,13.840028000000004,1.141585993072346
317.18,entertainment,53,CA,desktop,1,0,20,6,2,0,0,0,97.749972,219.430028,3.2448090804076233
267.29,electronics,60,IL,desktop,2,0,2,1,4,5,1,1,97.749972,169.540028,2.7344253077184995
40.97,grocery,20,NY,desktop,4,0,5,17,2,4,0,1,97.749972,-56.779972,0.41913055055268406
5.04,fuel,43,IL,desktop,2,0,4,23,8,1,0,1,97.749972,-92.709972,0.0515601165434593
136.81,grocery,41,IL,desktop,2,0,6,24,11,6,1,0,97.749972,39.060028,1.3995911794267197
149.11,entertainment,47,FL,mobile,4,0,1,5,2,0,0,1,97.749972,51.360028000000014,1.5254224162292098
206.89,grocery,44,TX,tablet,4,0,2,22,4,0,0,1,97.749972,109.14002799999999,2.1165223237452966
198.61,entertainment,31,IL,desktop,0,0,22,1,12,4,0,1,97.749972,100.86002800000001,2.0318164179953278
44.1,grocery,26,NY,tablet,8,0,20,31,3,3,0,0,97.749972,-53.649972,0.4511510197552689
119.41,fashion,63,IL,mobile,5,0,6,8,5,0,0,0,97.749972,21.660027999999997,1.2215860151695388
78.71,electronics,55,FL,mobile,2,0,19,22,4,5,1,0,97.749972,-19.039972000000006,0.8052176137173971
55.26,grocery,26,TX,desktop,3,0,16,3,7,6,1,0,97.749972,-42.489972,0.5653198492443573
84.61,entertainment,31,NY,mobile,2,0,5,8,5,6,1,1,97.749972,-13.139972,0.8655756866551769
5.25,fashion,41,FL,mobile,2,0,19,7,11,0,0,0,97.749972,-92.499972,0.053708454732770104
29.39,grocery,58,IL,tablet,0,0,22,26,12,1,0,1,97.749972,-68.359972,0.300665044684974
122.75,fashion,23,FL,tablet,6,0,17,24,9,1,0,0,97.749972,25.000028,1.2557548225614343
38.08,fashion,52,IL,tablet,6,0,7,10,6,5,1,0,97.749972,-59.669972,0.38956532499502583
35.26,entertainment,36,IL,mobile,4,0,4,1,7,4,0,1,97.749972,-62.489972,0.3607162121671379
119.56,entertainment,52,FL,desktop,2,0,22,8,11,4,0,1,97.749972,21.810028000000003,1.223120542447618
31.9,fashion,49,TX,desktop,2,0,0,20,5,0,0,1,97.749972,-65.84997200000001,0.326342801138165
26.2,fuel,40,FL,tablet,3,0,1,3,5,4,0,1,97.749972,-71.549972,0.2680307645711575
66.2,grocery,50,NY,tablet,2,0,13,11,3,4,0,0,97.749972,-31.549971999999997,0.6772380387255964
97.38,fashion,33,NY,tablet,0,0,7,27,10,3,0,0,97.749972,-0.3699720000000042,0.9962151089289815
41.55,fashion,23,CA,desktop,3,0,10,12,11,5,1,0,97.749972,-56.199972,0.4250640560279234
171.74,fuel,45,FL,desktop,2,0,20,7,5,6,1,0,97.749972,73.99002800000001,1.7569314315820836
37.08,grocery,44,CA,tablet,3,0,22,30,8,2,0,1,97.749972,-60.669972,0.37933514314116484
108.25,fuel,40,NY,tablet,4,0,12,30,10,6,1,0,97.749972,10.500028,1.1074171856804502
50.45,grocery,62,TX,tablet,6,0,1,11,9,0,0,1,97.749972,-47.299972,0.5161126745272862
27.9,fuel,59,NY,tablet,3,0,11,4,4,0,0,0,97.749972,-69.84997200000001,0.2854220737227211
39.91,entertainment,38,TX,mobile,6,0,21,21,12,5,1,0,97.749972,-57.839972,0.4082865577875914
49.88,grocery,30,IL,tablet,7,0,18,11,5,3,0,0,97.749972,-47.869972,0.5102814708705854
120.76,electronics,32,NY,tablet,4,0,12,22,6,3,0,0,97.749972,23.010028000000005,1.2353967606722511
12.1,fashion,66,IL,tablet,1,0,17,7,11,0,0,0,97.749972,-85.649972,0.12378520043171777
157.43,electronics,27,IL,desktop,2,0,14,21,4,4,0,0,97.749972,59.68002800000001,1.610537529253333
52.94,electronics,38,FL,desktop,2,0,17,6,8,1,0,0,97.749972,-44.809972,0.5415858273433999
196.43,fuel,21,NY,tablet,4,0,1,8,9,3,0,1,97.749972,98.68002800000001,2.009514621553911
18.0,grocery,57,FL,desktop,3,0,21,15,4,5,1,0,97.749972,-79.749972,0.1841432733694975
90.65,electronics,47,CA,mobile,3,0,21,10,10,3,0,0,97.749972,-7.099971999999994,0.9273659850524972
18.18,fashion,41,NY,tablet,1,0,16,12,3,5,1,0,97.749972,-79.569972,0.18598470610319248
5.96,fashion,40,TX,mobile,5,0,14,16,3,5,1,0,97.749972,-91.789972,0.0609718838490114
440.0,electronics,37,FL,tablet,1,0,0,10,11,6,1,1,97.749972,342.250028,4.501280015698828
117.14,entertainment,57,FL,tablet,6,0,22,5,11,5,1,1,97.749972,19.390028,1.1983635023612744
10.37,fuel,63,CA,mobile,1,0,10,8,5,0,0,0,97.749972,-87.379972,0.10608698582453828
49.94,electronics,44,TX,tablet,1,0,2,16,3,5,1,1,97.749972,-47.809972,0.510895281781817
93.06,grocery,54,NY,tablet,6,0,19,22,12,6,1,0,97.749972,-4.689971999999997,0.9520207233203022
43.17,fashion,48,CA,tablet,8,0,10,7,12,2,0,0,97.749972,-54.579972,0.4416369506311782
86.07,entertainment,52,NY,desktop,2,0,21,15,5,6,1,0,97.749972,-11.679972000000006,0.8805117521618139
258.57,fashion,21,NY,tablet,2,0,9,13,8,1,0,0,97.749972,160.82002799999998,2.6452181219528317
275.77,electronics,30,TX,desktop,0,0,13,4,1,2,0,0,97.749972,178.02002799999997,2.8211772498392405
66.76,fuel,20,TX,desktop,2,0,20,18,3,4,0,0,97.749972,-30.989971999999995,0.6829669405637586
31.92,entertainment,34,TX,mobile,2,0,14,21,4,3,0,0,97.749972,-65.829972,0.32654740477524224
50.63,fuel,61,NY,mobile,4,0,11,22,4,4,0,0,97.749972,-47.119972,0.5179541072609811
31.39,electronics,26,TX,tablet,0,0,17,10,5,4,0,0,97.749972,-66.359972,0.32112540839269593
232.05,fuel,46,TX,mobile,1,0,17,14,4,4,0,0,97.749972,134.300028,2.3739136991884386
372.43,grocery,67,NY,tablet,1,0,19,18,4,3,0,0,97.749972,274.680028,3.8100266278334423
74.54,fashion,23,CA,desktop,2,0,6,28,11,0,0,0,97.749972,-23.209971999999993,0.7625577553867969
29.8,fashion,40,TX,tablet,3,0,17,7,12,5,1,0,97.749972,-67.949972,0.304859419245057
29.15,grocery,68,FL,desktop,0,0,9,8,5,0,0,0,97.749972,-68.59997200000001,0.29820980104004735
23.84,grocery,58,FL,tablet,2,0,9,20,7,3,0,0,97.749972,-73.909972,0.2438875353960456
10.49,fashion,65,FL,tablet,7,0,5,7,8,6,1,1,97.749972,-87.259972,0.10731460764700161
1.18,entertainment,42,TX,mobile,2,0,2,27,10,4,0,1,97.749972,-96.56997199999999,0.012071614587555948
11.04,fashion,53,TX,desktop,6,0,22,21,4,4,0,1,97.749972,-86.709972,0.11294120766662513
51.97,fashion,49,CA,mobile,6,0,14,12,10,5,1,0,97.749972,-45.779972,0.5316625509451547
47.19,fashion,34,CA,desktop,3,0,9,27,7,2,0,0,97.749972,-50.559972,0.4827622816836993
246.35,grocery,54,IL,tablet,2,0,19,23,9,0,0,0,97.749972,148.600028,2.5202052996986506
96.82,fashion,40,CA,desktop,4,0,14,14,9,2,0,0,97.749972,-0.9299720000000065,0.9904862070908194
71.43,grocery,24,TX,desktop,6,1,18,23,6,6,1,0,97.749972,-26.319971999999993,0.7307418898212894
41.53,entertainment,54,NY,mobile,7,0,9,30,6,4,0,0,97.749972,-56.219972,0.4248594523908462
330.0,fashion,45,FL,mobile,4,0,1,18,11,0,0,1,97.749972,232.250028,3.375960011774121
7.5,fuel,27,FL,mobile,0,0,9,9,8,4,0,0,97.749972,-90.249972,0.07672636390395729
49.09,electronics,21,TX,desktop,0,0,9,21,9,2,0,0,97.749972,-48.659971999999996,0.5021996272060352
20.62,fuel,19,CA,mobile,1,0,7,21,11,0,0,0,97.749972,-77.129972,0.21094634982661326
319.11,fashion,54,FL,mobile,2,0,7,1,2,1,0,0,97.749972,221.360028,3.2645533313855752
147.46,grocery,36,FL,mobile,9,0,0,30,11,2,0,1,97.749972,49.71002800000001,1.508542616170339
283.59,fuel,28,TX,desktop,3,0,5,23,8,1,0,1,97.749972,185.84002799999996,2.901177271936433
19.41,fuel,45,CA,mobile,2,0,7,7,5,1,0,0,97.749972,-78.339972,0.19856782978344148
121.12,grocery,33,CA,desktop,2,0,16,6,9,1,0,0,97.749972,23.370028000000005,1.239079626139641
24.79,fuel,48,NY,mobile,6,0,12,1,4,0,0,0,97.749972,-72.959972,0.2536062081572135
163.95,fuel,61,CA,tablet,3,0,12,27,7,2,0,0,97.749972,66.20002799999999,1.6772383149405063
29.26,entertainment,64,IL,tablet,3,0,20,13,3,6,1,0,97.749972,-68.489972,0.2993351210439721
53.08,fuel,19,FL,desktop,3,0,11,23,8,4,0,0,97.749972,-44.669972,0.5430180528029405
35.28,entertainment,33,IL,mobile,1,0,0,3,6,5,1,1,97.749972,-62.469972,0.36092081580421514
56.58,grocery,27,CA,desktop,3,0,12,23,11,3,0,0,97.749972,-41.169972,0.5788236892914538
22.35,fashion,38,TX,desktop,4,0,22,14,10,0,0,1,97.749972,-75.39997199999999,0.22864456443379275
98.86,fuel,38,FL,mobile,3,0,2,5,1,4,0,1,97.749972,1.1100279999999998,1.0113557780726958
327.98,grocery,32,IL,mobile,4,0,19,5,5,6,1,0,97.749972,230.230028,3.355295044429322
37.74,grocery,39,IL,tablet,2,0,18,3,3,4,0,0,97.749972,-60.009972,0.38608706316471314
89.88,fashion,34,CA,tablet,4,0,9,6,11,6,1,0,97.749972,-7.869972000000004,0.9194887450250242
82.81,fashion,40,FL,mobile,3,0,20,20,4,2,0,0,97.749972,-14.939971999999997,0.8471613593182272
23.7,entertainment,23,CA,tablet,3,0,8,30,12,0,0,0,97.749972,-74.049972,0.24245530993650505
509.1,fashion,27,CA,desktop,3,0,13,24,2,3,0,0,97.749972,411.350028,5.208185581800621
113.2,electronics,68,FL,desktop,3,0,11,18,7,3,0,0,97.749972,15.450028000000003,1.1580565858570622
93.59,fashion,39,NY,mobile,2,0,1,7,2,0,0,1,97.749972,-4.159971999999996,0.9574427197028484
41.59,entertainment,53,FL,tablet,3,0,17,19,1,2,0,0,97.749972,-56.159971999999996,0.4254732633020779
70.99,fuel,39,FL,mobile,5,0,2,11,5,5,1,1,97.749972,-26.759972000000005,0.7262406098055904
14.52,electronics,53,IL,desktop,1,0,6,29,5,2,0,0,97.749972,-83.229972,0.1485422405180613
122.28,fuel,47,TX,tablet,1,0,23,20,11,2,0,1,97.749972,24.530028,1.2509466370901197
18.33,electronics,27,TX,mobile,2,0,23,27,4,5,1,1,97.749972,-79.419972,0.1875192333812716
23.08,electronics,27,FL,desktop,3,0,6,18,2,4,0,0,97.749972,-74.669972,0.23611259718711122
81.83,fashion,20,FL,desktop,4,0,10,12,10,3,0,0,97.749972,-15.919972000000001,0.8371357811014434
29.96,entertainment,67,FL,desktop,10,0,12,4,2,5,1,0,97.749972,-67.789972,0.30649624834167477
54.98,entertainment,33,IL,tablet,5,0,5,20,11,6,1,1,97.749972,-42.769972,0.5624553983252762
76.97,entertainment,41,CA,tablet,1,0,18,19,5,4,0,0,97.749972,-20.779972,0.7874170972916791
111.94,fuel,68,NY,desktop,3,0,3,23,2,3,0,1,97.749972,14.190027999999998,1.1451665567211973
250.34,grocery,68,TX,desktop,3,0,23,1,7,0,0,1,97.749972,152.59002800000002,2.561023725295556
38.27,electronics,66,FL,desktop,0,0,1,11,11,5,1,1,97.749972,-59.479972,0.39150905954725945
67.79,electronics,54,FL,desktop,0,0,21,12,12,1,0,0,97.749972,-29.959971999999993,0.6935040278732354
142.3,entertainment,55,CA,mobile,9,0,7,28,12,5,1,0,97.749972,44.55002800000001,1.4557548778044165
351.05,entertainment,29,CA,tablet,6,0,1,15,11,2,0,1,97.749972,253.300028,3.5913053397978945
63.73,grocery,25,TX,mobile,2,0,4,20,12,4,0,1,97.749972,-34.019972,0.6519694895465598
131.67,entertainment,23,TX,tablet,2,0,6,7,12,2,0,0,97.749972,33.92002799999999,1.347008044697874
26.04,grocery,20,CA,tablet,5,0,0,21,2,2,0,1,97.749972,-71.709972,0.2663939354745397
173.78,fashion,54,IL,mobile,4,0,21,4,4,0,0,0,97.749972,76.030028,1.77780100256396
33.21,electronics,21,NY,mobile,0,0,18,29,10,6,1,0,97.749972,-64.539972,0.33974433936672294
355.9,entertainment,18,IL,desktop,1,0,14,3,6,4,0,0,97.749972,258.15002799999996,3.64092172178912
1.92,entertainment,58,CA,desktop,1,0,13,17,9,6,1,0,97.749972,-95.829972,0.01964194915941307
9.86,fuel,27,IL,mobile,3,0,23,14,8,2,0,1,97.749972,-87.889972,0.10086959307906919
151.75,fuel,38,NY,mobile,4,0,20,23,8,2,0,0,97.749972,54.000028,1.5524300963234026
19.8,fuel,64,TX,tablet,1,0,8,15,6,3,0,0,97.749972,-77.949972,0.20255760070644727
17.0,entertainment,32,FL,mobile,1,0,12,15,7,5,1,0,97.749972,-80.749972,0.17391309151563653
70.27,entertainment,46,IL,desktop,0,0,6,26,8,4,0,0,97.749972,-27.479972000000004,0.7188748788708105
113.68,grocery,18,TX,desktop,4,0,0,14,11,0,0,1,97.749972,15.930028000000007,1.1629670731469155
270.48,electronics,24,TX,desktop,1,0,23,15,2,3,0,1,97.749972,172.730028,2.767059587832316
120.05,electronics,69,FL,desktop,5,0,22,5,7,4,0,1,97.749972,22.300027999999998,1.2281333315560097
89.36,fashion,60,TX,tablet,3,0,12,23,11,3,0,0,97.749972,-8.389972,0.9141690504610165
1.37,electronics,37,TX,tablet,1,0,1,16,7,1,0,1,97.749972,-96.379972,0.014015349139789534
104.28,fashion,19,TX,mobile,4,0,19,29,9,3,0,0,97.749972,6.5300280000000015,1.0668033637206222
23.95,entertainment,41,NY,desktop,2,0,18,16,8,1,0,0,97.749972,-73.799972,0.24501285539997028
170.26,electronics,46,TX,tablet,3,0,5,1,11,4,0,1,97.749972,72.51002799999999,1.741790762438369
77.85,entertainment,25,IL,desktop,1,0,17,17,5,1,0,0,97.749972,-19.899972000000005,0.7964196573230766
116.05,fuel,42,NY,tablet,0,0,12,10,4,2,0,0,97.749972,18.300027999999998,1.187212604140566
51.72,fuel,36,NY,tablet,4,0,6,18,5,5,1,0,97.749972,-46.029972,0.5291050054816895
166.54,fuel,35,FL,mobile,2,0,5,7,5,1,0,1,97.749972,68.79002799999999,1.7037344859420063
237.5,fuel,64,CA,desktop,4,0,17,18,12,6,1,0,97.749972,139.750028,2.4296681902919812
18.79,fashion,35,TX,tablet,4,0,21,27,11,6,1,0,97.749972,-78.959972,0.19222511703404768
192.65,electronics,56,CA,mobile,2,0,0,8,11,4,0,1,97.749972,94.900028,1.9708445341463166
14.62,fuel,62,TX,desktop,2,0,1,21,1,5,1,1,97.749972,-83.129972,0.14956525870344742
61.75,fashion,26,IL,mobile,3,0,3,19,10,2,0,1,97.749972,-35.999972,0.6317137294759151
41.36,electronics,33,NY,mobile,2,0,9,29,6,5,1,0,97.749972,-56.389972,0.42312032147568984
155.55,grocery,52,TX,mobile,2,0,19,19,10,2,0,0,97.749972,57.80002800000001,1.5913047873680743
35.58,fashion,64,NY,mobile,3,0,16,19,12,3,0,0,97.749972,-62.169972,0.3639898703603734
56.84,fuel,25,IL,tablet,2,0,19,12,9,1,0,0,97.749972,-40.909971999999996,0.5814835365734577
147.46,electronics,63,IL,tablet,0,0,12,15,1,0,0,0,97.749972,49.71002800000001,1.508542616170339
8.53,electronics,63,NY,mobile,4,0,7,18,8,3,0,0,97.749972,-89.219972,0.0872634512134341
103.08,fashion,69,CA,mobile,5,0,18,25,6,1,0,0,97.749972,5.330027999999999,1.054527145495989
43.93,grocery,18,TX,mobile,2,0,9,23,8,4,0,0,97.749972,-53.819972,0.4494118888401125
24.21,grocery,51,FL,tablet,1,0,12,15,9,3,0,0,97.749972,-73.539972,0.24767270268197417
86.9,electronics,27,CA,desktop,3,0,8,16,11,3,0,0,97.749972,-10.849971999999994,0.8890028031005186
282.11,entertainment,56,TX,desktop,2,0,6,11,10,2,0,0,97.749972,184.360028,2.886036602792719
76.48,grocery,31,FL,desktop,4,0,14,6,8,5,1,0,97.749972,-21.269971999999996,0.7824043081832872
0.01,fashion,62,FL,desktop,5,0,17,2,10,0,0,0,97.749972,-97.739972,0.00010230181853860973
44.43,fashion,33,FL,tablet,3,0,22,18,10,1,0,1,97.749972,-53.319972,0.45452697976704304
93.32,grocery,19,CA,tablet,4,0,14,25,3,0,0,0,97.749972,-4.4299720000000065,0.9546805706023059
2.36,electronics,30,CA,mobile,3,0,15,30,10,0,0,0,97.749972,-95.389972,0.024143229175111896
61.74,fuel,53,TX,desktop,3,0,6,17,8,2,0,0,97.749972,-36.009972,0.6316114276573764
7.38,electronics,39,FL,desktop,2,0,22,8,8,0,0,1,97.749972,-90.369972,0.07549874208149397
254.41,fuel,55,IL,desktop,3,0,16,16,8,4,0,0,97.749972,156.660028,2.60266056544077
220.29,fuel,63,TX,desktop,2,0,4,10,4,0,0,1,97.749972,122.54002799999999,2.253606760587034
69.24,electronics,26,TX,tablet,1,0,9,19,1,3,0,0,97.749972,-28.509972000000005,0.7083377915613337
122.09,grocery,39,IL,tablet,3,0,17,3,7,0,0,0,97.749972,24.340028000000004,1.2490029025378862
191.51,fuel,65,FL,tablet,1,0,21,14,4,3,0,0,97.749972,93.76002799999999,1.9591821268329148
108.37,fashion,18,NY,mobile,0,0,0,12,12,1,0,1,97.749972,10.620028000000005,1.1086448075029136
58.12,grocery,22,FL,desktop,1,0,2,25,1,1,0,1,97.749972,-39.629972,0.5945781693463997
171.95,entertainment,19,FL,tablet,6,0,14,10,1,0,0,0,97.749972,74.20002799999999,1.7590797697713942
0.75,fuel,47,TX,tablet,2,0,12,23,11,3,0,0,97.749972,-96.999972,0.00767263639039573
53.81,entertainment,54,IL,tablet,4,0,7,13,6,1,0,0,97.749972,-43.939972,0.550486085556259
59.28,fuel,21,IL,desktop,7,0,0,16,2,4,0,1,97.749972,-38.469972,0.6064451802968784
67.06,electronics,19,TX,mobile,5,0,22,7,4,6,1,1,97.749972,-30.689971999999997,0.6860359951199169
67.8,fashion,47,TX,tablet,7,0,19,23,8,4,0,0,97.749972,-29.949972000000002,0.6936063296917739
51.84,grocery,41,TX,mobile,1,0,20,7,2,2,0,0,97.749972,-45.909971999999996,0.5303326273041529
52.45,grocery,52,CA,desktop,0,0,22,6,10,4,0,1,97.749972,-45.299972,0.536573038235008
